loinc_code;loinc_display;loinc_component;loinc_property;loinc_system;loinc_scale;loinc_method;loinc_unitofmeasure;loinc_codesystem;loinc_timing
11120-3;Promyelocytes/100 cells in Bone marrow by Manual count;Promyelocytes/100 cells;NFr;Bone mar;Qn;Manual count;%;http://loinc.org;Pt
11114-6;Myelocytes/100 cells in Bone marrow by Manual count;Myelocytes/100 cells;NFr;Bone mar;Qn;Manual count;%;http://loinc.org;Pt
11111-2;Metamyelocytes/100 cells in Bone marrow by Manual count;Metamyelocytes/100 cells;NFr;Bone mar;Qn;Manual count;%;http://loinc.org;Pt
11103-9;Band form neutrophils/100 cells in Bone marrow by Manual count;Neutrophils.band form/100 cells;NFr;Bone mar;Qn;Manual count;%;http://loinc.org;Pt
11115-3;Neutrophils/100 cells in Bone marrow by Manual count;Neutrophils/100 cells;NFr;Bone mar;Qn;Manual count;%;http://loinc.org;Pt
11105-4;Basophils/100 cells in Bone marrow by Manual count;Basophils/100 cells;NFr;Bone mar;Qn;Manual count;%;http://loinc.org;Pt
11106-2;Eosinophils/100 cells in Bone marrow by Manual count;Eosinophils/100 cells;NFr;Bone mar;Qn;Manual count;%;http://loinc.org;Pt
11112-0;Monocytes/100 cells in Bone marrow by Manual count;Monocytes/100 cells;NFr;Bone mar;Qn;Manual count;%;http://loinc.org;Pt
11122-9;Promonocytes/100 cells in Bone marrow by Manual count;Promonocytes/100 cells;NFr;Bone mar;Qn;Manual count;%;http://loinc.org;Pt
11108-8;Lymphocytes/100 cells in Bone marrow by Manual count;Lymphocytes/100 cells;NFr;Bone mar;Qn;Manual count;%;http://loinc.org;Pt
11118-7;Plasma cells/100 cells in Bone marrow by Manual count;Plasma cells/100 cells;NFr;Bone mar;Qn;Manual count;%;http://loinc.org;Pt
74453-2;Histiocytes/100 cells in Bone marrow;Histiocytes/100 cells;NFr;Bone mar;Qn;;%;http://loinc.org;Pt
11124-5;Pronormoblasts/100 cells in Bone marrow by Manual count;Pronormoblasts/100 cells;NFr;Bone mar;Qn;Manual count;%;http://loinc.org;Pt
11104-7;Normoblasts Basophilic/100 cells in Bone marrow by Manual count;Normoblasts.basophilic/100 cells;NFr;Bone mar;Qn;Manual count;%;http://loinc.org;Pt
11119-5;Normoblasts Polychromatophilic/100 cells in Bone marrow by Manual count;Normoblasts.polychromatophilic/100 cells;NFr;Bone mar;Qn;Manual count;%;http://loinc.org;Pt
11116-1;Normoblasts Orthochromic/100 cells in Bone marrow by Manual count;Normoblasts.orthochromic/100 cells;NFr;Bone mar;Qn;Manual count;%;http://loinc.org;Pt
11138-5;Myeloid cells/Erythroid cells [# Ratio] in Bone marrow;Myeloid cells/Erythroid cells;NRto;Bone mar;Qn;;%;http://loinc.org;Pt
52127-8;Megaloblasts/100 cells in Bone marrow;Megaloblasts/100 cells;NFr;Bone mar;Qn;;%;http://loinc.org;Pt
